score,subject,title
8.9,跨度十五年的欢乐与泪水。,玩具总动员3
8.7,爱是摈弃傲慢与偏见之后的曙光。,傲慢与偏见
9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,小森林 冬春篇
8.8,愿我们都不用长大，每一座城堡都能永远存在。,头脑特工队
8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。,被解救的姜戈
9.4,1957年的理想主义。 ,十二怒汉
9.0,你给我翻译翻译，神马叫做TMD的惊喜。,让子弹飞
9.1,凝视卑弱生命，用电影改变命运。,何以为家
9.3,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,海蒂和爷爷
9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,摔跤吧！爸爸
9.1,骗子大师和执著警探的你追我跑故事。 ,猫鼠游戏
9.2,对天空的追逐，永不停止。 ,天空之城
9.3,对敌人的仁慈，就是对自己残忍。,鬼子来了
9.1,瑰丽壮观、无人能及的冒险之旅。,少年派的奇幻漂流
9.3,音乐能化解仇恨。,钢琴家
9.2,承前启后的史诗篇章。,指环王2：双塔奇兵
9.0,旷古烁今。,大话西游之月光宝盒
9.1,史上最美的探戈。,闻香识女人
8.8,触不到的恋人。,萤火之森
8.6,揭露人性的丧尸题材力作。,釜山行
8.7,Mr. I Don't Care其实也有Care的时候。,神偷奶爸
8.7,假戏真情，爱欲深海,色，戒
8.7,,九品芝麻官
9.2,想你时你在闹海。,哪吒闹海
8.8,没有一人完全善，也没有一人完全恶。,告白
9.0,你是我最好的朋友，你是我唯一的朋友 。,玛丽和马克思
9.0,中国家庭的喜怒哀乐忍。,喜宴
8.8,一部能引人思考的科幻励志片。,千钧一发
8.6,小成本大魅力。,彗星来的那一夜
8.6,最忠于原著的一部。,哈利·波特与死亡圣器(上)
8.6,,白日梦想家
8.7,幸福是生生不息，却难以触及的远。 ,萤火虫之墓
8.7,一个精彩的世界观正在缓缓建立。,黑客帝国2：重装上阵
8.6,世界不完美，爱会有奇迹。,奇迹男孩
8.5,,火星救援
8.7,有一些东西不应该被遗忘。,二十二
8.7,做一颗让别人需要你的棋子。,战争之王
8.7,每个美丽事物背后都是滴血的现实。,血钻
8.5,,哈利·波特与凤凰社
8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,步履不停
8.8,爱情是一场没有尽头的虚幻追逐。,千年女优
8.9,《我是山姆》的《美丽人生》。,7号房的礼物
8.8,以戏谑来戏谑戏谑。,被嫌弃的松子的一生
8.9,诺兰就是保证。,蝙蝠侠：黑暗骑士崛起
8.9,相逢只要一瞬间，等待却像是一辈子。,甜蜜蜜
8.8,缘分是个连绵词，最美不过一瞬。,爱在黎明破晓前
8.9,深入内心的恐怖，出人意料的结局。,第六感
8.8,Balalala~~~,超能陆战队
8.8,沉醉在电影的情感和视听氛围中无法自拔。,请以你的名字呼唤我
8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,入殓师
8.8,寂寞没有期限。,重庆森林
8.8,每个人心中都有一座断背山。,断背山
8.7,浪漫忧郁的成人童话。,剪刀手爱德华
8.9,人与自然的战争史诗。,幽灵公主
8.8,,大红灯笼高高挂
8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,房间
8.8,中国式内在的美国电影。,魂断蓝桥
8.7,谁说王家卫镜头很晃？,谍影重重2
8.6,,蜘蛛侠：平行宇宙
8.7,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,弱点
8.6,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,谍影重重
8.5,王家卫是一种风格，张国荣是一个代表。,阿飞正传
8.6,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,朗读者
8.9,,隐藏人物
8.6,爱我就给我看你的播放列表。,再次出发之纽约遇见你
8.8,,寄生虫
8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,爱在日落黄昏时
8.9,史诗大片的典范。,勇敢的心
8.9,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,菊次郎的夏天
8.9,曾经的那段美好会沉淀为一辈子的记忆。,借东西的小人阿莉埃蒂
9.1,好的剧本是，就算你猜到了结局也猜不到全部。,未麻的部屋
8.7,年度最佳date movie。,消失的爱人
9.1,我的平常生活就是他人的幸福。,无人知晓
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,时空恋旅人
8.8,一场华丽的意淫。,阳光灿烂的日子
9.1,坏人的好总是比好人的好来得更感人。,完美的世界
8.8,两张绝世的脸。 ,倩女幽魂
